As,Au,Co,Cu,Fe,Hg,Mn,Mo,Ni,U,Zn,x,y
-1,0,9,29,4.19999981,90,795,-2,15,2.5,110,480073.7882,6246643.1
3,6,7,37,1.04999995,64,110,-2,24,0.5,60,480171.233,6207522.428
4,5,18,46,2.5,44,620,3,57,2.70000005,108,480271.0807,6137522.428
2,5,12,26,2.3499999,27,380,2,31,2.70000005,86,480371.3887,6142122.569
6,4,13,18,1.14999998,22,500,2,29,0.2,74,480471.1878,6132622.569
-1,0,8,24,2.79999995,99,750,-2,15,2.20000005,89,480755.991,6247898.879
2,-1,8,38,2.54999995,70,490,2,24,0.5,88,480770.8012,6210121.944
5,6,20,45,5.30000019,30,1350,2,31,3.70000005,130,481171.1641,6187922.723
6,-1,12,23,1.75,236,320,2,17,2.5,74,481271.1122,6172223.022
0,0,19,30,13,90,2150,2,14,2.5,105,481308.6713,6251534.931
2,5,7,8,0.44,28,345,2,16,0.2,106,481571.1441,6111822.859
3,19,15,49,3.79999995,222,540,3,44,5,126,481571.3998,6179922.143
2,2,7,18,4,14,2750,2,13,1,70,481671.2224,6221222.691
4,0,8,27,1.25,90,240,-2,23,2.5,56,481771.1452,6233022.642
3,7,9,18,2.25,52,285,3,15,2.5,54,481771.3844,6227822.599
1,-1,5,3,1.20000005,66,370,-2,5,0.5,14,481871.2234,6164722.726
2,2,7,18,3,18,370,2,13,2.79999995,62,481971.0089,6224822.106
4,5,32,63,3.25,46,1600,4,111,4.0999999,160,481971.2494,6150723.021
-1,0,24,23,17,86,2100,4,12,5,100,481983.0684,6244480.824
2,5,4,39,1,48,250,5,21,1.70000005,66,482570.9016,6217622.75
1,8,10,58,4.0999999,56,610,7,26,4.30000019,96,482570.9889,6207022.338
3,11,13,28,2.3499999,138,525,2,41,4.5,116,482571.0097,6182122.76
2,-1,5,10,2.20000005,-10,520,4,8,0.5,40,482671.0471,6215922.752
2,5,7,50,2.45000005,56,610,3,20,4,94,482771.3803,6210822.481
7,20,12,25,2,250,210,3,27,3.5,84,482871.2801,6169423
